time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-01-22T21:04:09.864Z,53.0634,-167.0808,35,3,ml,,214,0.608,0.37,us,us7000glit,2022-04-09T20:18:51.040Z,"97 km SSW of Unalaska, Alaska",earthquake,2.2,2,0.101,13,reviewed,us,us
2022-01-22T20:27:30.758Z,53.1676,-166.71,35,2.8,ml,,215,0.635,0.55,us,us7000glir,2022-04-09T20:18:51.040Z,"79 km S of Unalaska, Alaska",earthquake,1.3,2,0.115,10,reviewed,us,us
2022-01-22T20:08:48.135Z,57.1843,-155.4678,54.6,2.7,ml,,,,0.7,ak,ak02210ps8mk,2022-04-09T20:18:51.040Z,"74 km SW of Karluk, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2022-01-22T19:51:33.355Z,53.2164,-166.7045,35,2.9,ml,,208,0.587,0.67,us,us7000gliq,2022-04-09T20:18:50.040Z,"74 km S of Unalaska, Alaska",earthquake,2.2,2,0.105,12,reviewed,us,us
2022-01-22T18:51:05.155Z,53.1835,-166.7118,30.22,2.5,ml,,220,0.619,0.49,us,us7000glip,2022-04-09T20:18:50.040Z,"77 km S of Unalaska, Alaska",earthquake,5.1,12.4,0.101,13,reviewed,us,us
2022-01-22T18:16:35.647Z,53.1655,-166.7088,35,2.5,ml,,222,0.637,0.29,us,us7000glin,2022-04-09T20:18:50.040Z,"79 km S of Unalaska, Alaska",earthquake,2.3,2,0.105,12,reviewed,us,us
2022-01-22T18:04:25.762Z,55.5225,-155.7063,21.4,3.8,ml,,,,0.62,ak,ak02210okdap,2022-04-09T20:18:50.040Z,"184 km SSW of Akhiok, Alaska",earthquake,,2.6,,,reviewed,ak,ak
2022-01-22T14:18:21.915Z,53.1648,-166.7276,35,2.7,ml,,219,0.636,0.27,us,us7000glih,2022-04-09T20:18:49.040Z,"79 km S of Unalaska, Alaska",earthquake,4.8,2,0.115,10,reviewed,us,us
2022-01-22T12:08:03.655Z,53.1457,-166.6397,35,2.6,ml,,222,0.664,0.3,us,us7000glig,2022-04-09T20:18:49.040Z,"81 km S of Unalaska, Alaska",earthquake,5.2,2,0.115,10,reviewed,us,us
2022-01-22T11:30:18.598Z,53.2203,-166.7382,35,2.8,ml,,215,0.58,0.51,us,us7000glif,2022-04-09T20:18:49.040Z,"74 km S of Unalaska, Alaska",earthquake,3.7,2,0.128,8,reviewed,us,us
